⺼	rou
㕡	he
㕡	huo
㕡	rui
㕢	gai
㕢	hai
㕢	ju
㕢	lun
㕢	nou
㕣	yan
㕤	qiu
㕤	rou
㕥	shen
㕥	yi
㕦	hua
㕧	xi
㕨	fan
㕩	pang
㕩	zhang
㕪	dan
㕫	fang
㕬	song
㕬	zhong
㕭	ao
㕭	bi
㕮	fu
㕮	tiao
㕯	ne
㕰	he
㕰	ma
㕰	xue
㕱	you
㕲	hua
㕲	ying
㕳	xiong
㕴	chen
㕵	guo
㕵	hun
㕵	luo
㕶	fu
㕷	hua
㕷	huo
㕷	pa
㕷	pia
㕸	li
㕹	fa
㕺	hao
㕺	xiao
㕻	pou
㕻	tou
㕼	xiong
㕽	si
㕿	he
㖀	le
㖀	luo
㖁	lin
㖂	yi
㖃	hou
㖄	zhou
㖅	xu
㖆	qu
㖇	er
㖈	lao
㖉	qi
㖊	xun
㖏	nei
㖏	nie
㖐	wei
㖑	xie
㖒	ti
㖓	hong
㖔	tun
㖕	bo
㖕	nie
㖕	xin
㖖	nie
㖗	yin
㖘	zhen
㖞	wai
㖟	shou
㖠	ba
㖠	na
㖠	ne
㖠	nei
㖠	nuo
㖡	ye
㖢	ji
㖢	qi
㖣	tou
㖤	han
㖥	jiong
㖥	jun
㖦	dong
㖧	hun
㖧	wen
㖨	lu
㖩	ju
㖩	sou
㖪	guo
㖪	huo
㖪	xu
㖫	ling
㖬	sou
㖭	tian
㖮	lun
㖴	wen
㖵	ge
㖶	yan
㖶	ye
㖶	yin
㖷	shi
㖷	ti
㖸	ju
㖸	jue
㖸	xue
㖹	fen
㖹	pen
㖺	chun
㖻	niu
㖻	rou
㖼	duo
㖼	lin
㖼	mou
㖽	ze
㖽	zei
㖾	e
㖿	xie
㖿	ye
㗀	you
㗁	e
㗂	sheng
㗃	hun
㗃	wen
㗃	yin
㗄	ku
㗄	man
㗅	hu
㗆	ge
㗆	kai
㗇	xia
㗇	ya
㗈	man
㗉	bi
㗉	e
㗉	lve
㗊	bi
㗊	ji
㗊	lei
㗊	qi
㗋	hou
㗌	zhi
㗍	yin
㗎	jia
㗏	wai
㗐	ke
㗑	bai
㗒	ai
㗓	zhui
㗔	qian
㗕	gou
㗖	dan
㗗	bai
㗗	bei
㗘	bo
㗘	fu
㗙	chu
㗙	na
㗙	zhou
㗚	li
㗛	xiao
㗜	xiu
㗝	gao
㗞	po
㗢	dong
㗢	hong
㗣	ti
㗤	cu
㗥	guo
㗥	kuo
