⺼	rou
愃	xuan
愄	wei
愅	ge
愆	qian
愆	yan
愇	wei
愈	yu
愉	tou
愉	yu
愊	bi
愋	huan
愋	xuan
愌	huan
愍	min
愎	bi
愎	fu
意	yi
愐	mian
愑	yong
愒	he
愒	kai
愒	qi
愓	dang
愓	shang
愓	tang
愓	yang
愔	yin
愕	e
愖	chen
愖	dan
愖	xin
愗	mao
愗	mou
愘	ke
愘	qia
愙	ke
愙	que
愚	yu
愛	ai
愜	qie
愜	xia
愝	yan
愞	nuo
愞	ru
感	gan
感	han
愠	yun
愡	cong
愡	song
愡	zong
愢	sai
愢	si
愢	xi
愣	leng
愤	fen
愥	ying
愦	kui
愧	kui
愨	que
愩	gong
愩	hong
愪	yun
愫	su
愬	shuo
愬	su
愭	qi
愮	yao
愯	song
愰	huang
愱	ji
愲	gu
愳	ju
愴	cang
愴	chuang
愵	ni
愶	xie
愷	kai
愸	zheng
愹	yong
愺	cao
愻	sun
愻	xun
愼	shen
愽	bo
愾	kai
愾	xi
愿	yuan
慀	xi
慀	xie
慁	hun
慂	yong
慂	yu
慃	yang
慄	li
慅	cao
慅	sao
慅	zao
慆	tao
慇	yin
慈	ci
慉	chu
慉	xu
慊	jian
慊	qian
慊	qie
態	tai
慌	heng
慌	huang
慍	yun
慎	shen
慏	ming
慐	gong
慐	hong
慑	she
慒	cao
慒	cong
慒	zao
慓	piao
慔	mo
慔	mu
慕	mu
慖	guo
慗	chi
慘	can
慙	can
慚	can
慛	cui
慜	min
慝	ni
慝	te
慞	zhang
慟	dong
慟	tong
慠	ao
慡	shuang
慢	man
慣	guan
慤	que
慥	cao
慥	zao
慦	jiu
慧	hui
慨	kai
慩	lian
慪	ou
慫	song
慬	jin
慬	qin
慭	yin
慮	lv
慯	shang
慰	wei
慱	tuan
慲	man
慳	jian
慳	keng
慳	qian
慴	she
慴	xi
慴	zhe
慵	yong
慶	qing
慷	kang
慸	chi
慸	di
慹	zhe
慹	zhi
慺	lou
慺	lv
慻	juan
慼	qi
慽	qi
慾	yu
慿	ping
憀	liao
憁	cong
憁	zong
憂	you
憃	chong
憃	chuang
憄	zhi
憅	dong
憅	tong
憆	cheng
憆	tang
憇	qi
憇	xi
憈	qu
憉	peng
憊	bei
憋	bie
憌	chun
憌	jun
憌	qiong
憍	jiao
憍	qiao
憎	zeng
憏	chi
憐	lian
憑	ping
憒	kui
憓	hui
憔	jiao
憔	qiao
憕	cheng
憕	deng
憕	zheng
憖	yin
憗	yin
憘	xi
憙	xi
憚	da
憚	dan
憛	tan
憜	duo
憝	dui
憝	dun
憞	dui
憞	dun
憞	tun
憟	su
憠	jue
憡	ce
憢	jiao
憢	xiao
憢	yao
憣	fan
憤	fen
憥	lao
憦	lao
憧	chong
憨	gan
憨	han
憩	qi
憩	xi
憪	xian
憫	min
憬	jing
憭	liao
憮	wu
憯	can
憰	ji
憰	ju
憰	jue
憱	chou
憱	cu
憲	xian
憳	tan
憴	sheng
憵	pi
憶	yi
憷	chu
憸	jian
憸	xian
憹	nang
憹	nao
憹	nong
憺	dan
憻	tan
憼	jing
憽	song
憾	han
憿	ji
憿	jiao
懀	wei
懁	huan
懁	xuan
懂	dong
懃	qin
懄	jin
懄	qin
懅	ju
懅	qu
懆	cao
懆	sao
懆	zao
懇	ken
懈	xie
應	ying
懊	ao
懋	mao
懋	mou
懌	yi
懍	lin
懎	se
懏	jun
懐	huai
懑	men
懒	lan
懓	ai
懔	lin
懕	yan
懖	gua
懖	guo
懗	xia
懘	chi
懙	yu
懚	yin
懛	dai
懜	meng
懝	ai
懝	ni
懝	yi
懞	meng
懟	dui
懠	ji
懠	qi
懡	mo
懢	lan
懢	xian
懣	man
懣	men
懤	chou
懥	ti
懥	zhi
懦	nuo
懦	ru
懧	nuo
懨	yan
懩	yang
懪	bo
懫	zhi
懬	kuang
懭	guang
懭	kuang
懮	you
懯	fu
懰	liu
懱	mie
懲	cheng
懳	hui
懴	chan
懵	meng
懶	lan
懷	huai
懸	xuan
懹	rang
懺	chan
懻	ji
懻	qi
懼	ju
懽	guan
懽	huan
懾	nie
懾	she
懾	zhe
懿	yi
戀	lian
戁	nan
戂	mi
戂	mo
戃	tang
戄	jue
戅	gang
戅	zhuang
戆	gang
戆	zhuang
戇	gang
戇	zhuang
戈	ge
戉	yue
戊	wu
戋	jian
戌	xu
戍	shu
戎	rong
戏	hu
戏	hui
戏	xi
成	cheng
我	e
我	wo
戒	jie
戓	ge
戔	jian
戕	ji
戕	qiang
或	huo
戗	qiang
战	zhan
戙	dong
戙	tong
戚	cu
戚	qi
戛	ga
戛	jia
戜	die
戝	ze
戝	zei
戞	ga
戞	jia
戟	ji
戠	chi
戠	shi
戠	zhi
戡	kan
戢	ji
戢	zhi
戣	kui
戤	gai
戥	deng
戦	zhan
戧	chuang
戧	qiang
戨	ge
戩	jian
戩	jin
截	jie
戫	yu
戬	jian
戬	jin
戭	yan
戭	yin
戮	lu
戯	hu
戯	hui
戯	xi
戰	zhan
戱	hu
戱	hui
戱	xi
戲	hu
戲	hui
戲	xi
戳	chuo
戴	dai
戵	qu
戶	hu
户	hu
戸	hu
戹	ai
戹	e
戺	shi
戻	li
戻	ti
戼	mao
戽	hu
戾	lei
戾	li
戾	lie
房	fang
房	pang
所	suo
扁	bian
扁	pian
扂	dian
扃	jiong
扃	ju
扄	jiong
扄	shang
扅	yi
扆	yi
扇	shan
扈	hu
扉	fei
扊	yan
手	shou
扌	shou
才	cai
扎	za
扎	zha
扏	qiu
扐	cai
扐	le
扐	li
扑	pi
扑	po
扑	pou
扑	pu
扒	ba
扒	pa
打	da
扔	reng
払	fan
払	fu
扖	ru
扗	zai
托	tuo
扙	zhang
扚	di
扚	diao
扚	li
扚	yue
扛	gang
扛	kang
扜	wu
扜	yu
扝	ku
扝	wu
扝	xu
扝	yu
扞	gan
扞	han
扟	shen
扠	cha
扠	zha
扡	chi
扡	tuo
扡	yi
扢	ge
扢	gu
扢	jie
扢	xi
扣	kou
扤	wu
扥	den
扥	dun
扥	tuo
扦	qian
执	zhi
扨	ren
扩	kuo
扪	men
扫	sao
扬	yang
扭	niu
扮	ban
扯	che
扰	rao
扰	you
扱	cha
扱	ji
扱	qi
扱	xi
扲	jin
扲	qian
扲	qin
扳	ban
扳	pan
扴	jia
扴	jie
扵	wu
扵	yu
扶	fu
扷	ao
扷	ba
扸	xi
扸	zhe
批	pi
扺	di
扺	zhi
扻	kan
扻	sun
扻	zhi
扻	zi
扼	e
扽	den
扽	dun
找	zhao
承	cheng
技	ji
抁	yan
抁	yun
抂	kuang
抂	wang
抂	zai
抃	bian
抄	chao
抅	ju
抆	wen
抇	gu
抇	hu
抇	kou
抈	yue
抉	jue
把	ba
把	bai
抋	qin
抌	chen
抌	dan
抌	shen
抌	zhen
抍	zheng
抎	shan
抎	yun
抏	wan
抐	na
抐	ne
抐	ni
抐	rui
抑	yi
抒	shu
抓	chua
抓	zhao
抓	zhua
抔	pou
投	tou
抖	dou
抗	kang
折	she
折	zhe
抙	fu
抙	pou
抚	fu
抚	wu
抛	pao
抜	ba
抝	ao
抝	niu
抝	yao
抝	yu
択	ze
択	zhai
抟	tuan
抠	kou
抡	lun
抢	cheng
抢	qiang
抣	yun
护	hu
报	bao
抦	bing
抧	zhai
抧	zhi
抨	peng
抨	ping
抩	nan
抩	tan
抪	bu
抪	pu
披	pei
披	pi
抬	tai
抭	tao
抭	yao
抮	zhen
抯	zha
抯	zu
抰	yang
抱	bao
抲	he
抲	qia
抳	ni
抴	ye
抴	yi
抵	di
抵	zhi
抶	chi
抷	pei
抷	pi
抸	jia
抸	za
抹	ma
抹	mo
抺	mei
抻	chen
抻	shen
押	ya
抽	chou
抾	qi
抾	qu
抾	que
抿	min
拀	zhu
拁	jia
拁	ya
拂	bi
拂	fu
拃	zha
拃	zhan
拄	zhu
担	dan
拆	ca
拆	chai
拆	che
拇	mu
拈	nian
拉	la
拊	fu
拋	pao
拌	ban
拌	pan
拍	pai
拍	po
拎	lin
拎	ling
拏	na
拏	nu
拐	guai
拑	gan
拑	qian
拒	ju
拓	ta
拓	tuo
拓	zhi
拔	ba
拕	tuo
拖	tuo
拗	ao
拗	niu
拗	yao
拗	yu
拘	gou
拘	ju
拙	zhuo
拚	fan
拚	fen
拚	pan
拚	pin
招	qiao
招	shao
招	zhao
拜	bai
拝	bai
拞	di
拞	zhi
拟	ni
拠	ju
拡	kuo
拢	long
拣	jian
拤	ka
拤	qia
拥	yong
拦	lan
拧	ning
拨	bo
择	ze
择	zhai
拪	qian
拫	hen
括	gua
括	kuo
拭	shi
拮	jia
拮	jie
拯	zheng
拰	nin
拱	gong
拲	gong
拳	quan
拴	shuan
拵	cun
拵	tun
拵	zun
拶	za
拶	zan
拷	kao
拸	che
拸	chi
拸	hai
拸	yi
拹	xie
拺	ce
拺	chuo
拺	se
拻	hui
拼	pin
拽	ye
拽	zhuai
拾	she
拾	shi
拿	na
挀	bai
挀	bo
持	chi
挂	gua
挃	zhi
挄	guang
挄	kuo
挅	duo
挆	duo
指	zhi
挈	qie
按	an
挊	long
挊	neng
挊	nong
挊	nou
挋	chen
挋	zhen
挌	ge
挍	jiao
挍	xiao
挎	ku
挎	kua
挏	dong
挐	na
挐	ru
挑	tao
挑	tiao
挒	lie
挓	zha
挓	zhai
挓	zhe
挔	lv
挕	die
挕	she
挖	wa
挗	jue
挘	lie
挙	ju
挚	zhi
挛	lian
挛	luan
挜	ya
挝	wo
挝	zhua
挞	ta
挟	jia
挟	xia
挟	xie
挠	nao
挡	dang
挢	jiao
挣	zheng
挤	ji
挥	hui
挦	xian
挧	yu
挨	ai
挩	shui
挩	tuo
挪	nuo
挫	cuo
挬	bo
挭	geng
挮	ti
振	zhen
挰	cheng
挱	sa
挱	sha
挱	suo
挲	sa
挲	sha
挲	suo
挳	jing
挳	keng
挳	qian
挴	mei
挵	long
挵	neng
挵	nong
挵	nou
挶	ju
挷	bang
挷	beng
挷	peng
挸	jian
挹	yi
挺	ting
挻	shan
挼	hui
挼	nuo
挼	rua
挼	ruo
挽	wan
挾	jia
挾	xia
挾	xie
挿	cha
捀	feng
捀	peng
捁	gao
捁	jiao
捁	ku
捂	wu
捃	jun
捄	jiu
捄	qiu
捅	tong
捆	kun
捇	chi
捇	huo
捈	cha
捈	shu
捈	tu
捉	zhuo
捊	fu
捊	pou
捋	le
捋	luo
捋	lv
捌	ba
捍	han
捎	shao
捏	nie
捐	juan
捑	she
捑	ze
捒	shu
捒	song
捒	sou
捓	ye
捓	yu
捔	jiao
捔	jue
捔	zhuo
捕	bu
捖	huan
捖	wan
捗	bu
捗	pu
捗	zhi
捘	zun
捙	ye
捙	yi
捚	li
捚	zhai
捛	lv
捜	sou
捝	shui
捝	tuo
捞	lao
损	sun
捠	bang
捡	jian
换	huan
捣	dao
捤	wei
捥	wan
捥	yu
捦	qin
捧	peng
捨	she
捩	lei
捩	li
捩	lie
捪	min
捫	men
捬	bu
捬	fu
捬	wu
捭	bai
捭	bi
捭	bo
据	ju
捯	dao
捰	guo
捰	luo
捰	wo
捱	ai
捲	juan
捲	quan
捳	yue
捴	zong
捵	chen
捶	chui
捷	jie
捸	tu
捹	ben
捺	na
捻	nian
捻	nie
捼	nuo
捼	re
捼	ruo
捼	wei
捽	zu
捽	zuo
捾	wo
捾	xia
捿	qi
捿	xi
掀	xian
掀	xin
掁	cheng
掂	dian
掃	sao
掄	lun
掅	qian
掅	qing
掆	gang
掇	duo
掇	zhui
授	shou
掉	diao
掊	pou
掋	di
掌	zhang
掍	gun
掍	hun
掎	ji
掏	tao
掐	qia
掑	qi
排	pai
掓	shu
掔	jin
掔	na
掔	qian
掔	wan
掕	leng
掕	ling
掖	ye
掖	yi
掗	ya
掘	jue
掙	zheng
掚	liang
掛	gua
掜	ni
掜	nie
掜	yi
掝	huo
掝	xu
掝	yu
掞	shan
掞	yan
掟	ding
掟	zheng
掠	lve
採	cai
探	tan
掣	che
掣	zhi
掤	bing
接	jie
掦	ti
控	kong
推	tui
掩	yan
措	cuo
掫	chou
掫	zhou
掫	zou
掬	ju
掭	tian
掮	jian
掮	qian
掯	ken
掰	bai
掱	pa
掱	shou
掲	jie
掲	qi
掳	lu
掴	guo
掵	ming
掶	geng
掶	jie
掷	zhi
掸	dan
掸	shan
掹	meng
掺	can
掺	chan
掺	shan
掺	xian
掻	sao
掼	guan
掽	peng
掾	yuan
掿	ni
掿	nuo
掿	ruo
揀	jian
揁	keng
揁	zheng
揂	jiu
揂	qiu
揂	you
揃	jian
揃	qian
揄	yao
揄	you
揄	yu
揅	yan
揆	kui
揇	nan
揈	hong
揉	rou
揊	che
揊	pi
揋	wei
揌	cai
揌	sai
揌	zong
揍	zou
揎	xuan
描	miao
提	di
提	shi
提	ti
揑	nie
插	cha
揓	shi
揔	song
揔	zong
揕	zhen
揖	ji
揖	yi
揗	shun
揗	xun
揘	heng
揘	huang
揘	yong
揙	bian
揚	yang
換	huan
揜	yan
揝	zan
揝	zuan
揞	an
揟	ju
揟	xu
揠	ya
握	wo
揢	ke
揢	qia
揣	chuai
揣	chuan
揣	tuan
揣	zhui
揤	ji
揤	jie
揥	di
揥	ti
揦	la
揧	la
揨	cheng
揩	ka
揩	kai
揪	jiu
揪	qiu
揫	jiu
揫	qiu
揬	tu
揭	jie
揭	qi
揮	hui
揯	gen
揯	geng
揯	heng
揰	chong
揰	dong
揱	shuo
揱	xiao
揲	die
揲	she
揲	ye
揳	qi
揳	xie
援	yuan
揵	jian
揵	qian
揶	ye
揷	cha
揸	zha
揹	bei
揺	yao
揻	wei
揼	beng
揽	lan
揾	wen
揿	qin
搀	chan
搁	ge
搂	lou
搃	zong
搄	gen
搄	geng
搅	jiao
搆	gou
搇	qin
搈	rong
搈	yong
搉	que
搊	chou
搊	zou
搋	chi
搋	chuai
搋	di
搌	zhan
損	sun
搎	sun
搏	bo
搐	chou
搐	chu
搐	xu
搑	nang
搑	rong
搒	bang
搒	peng
搓	cuo
搔	sao
搕	e
搕	ke
搖	yao
搗	dao
搘	qi
搘	zhi
搙	nou
搙	nu
搙	nuo
搚	la
搚	xian
搚	xie
搛	jian
搜	sou
搝	qiu
搞	gao
搟	xian
搟	xuan
搠	shuo
搡	sang
搢	jin
搣	mie
搤	e
搥	chui
搦	ni
搦	nuo
搦	ruo
搧	shan
搨	ta
搩	jie
搩	zha
搩	zhe
搪	tang
搫	ban
搫	pan
搫	po
搬	ban
搭	da
搮	li
搯	tao
搰	hu
搱	nai
搱	zhi
搲	wa
搳	hai
搳	hua
搳	xia
搴	qian
搵	wen
搶	cheng
搶	chuang
搶	qiang
搷	chen
搷	shen
搷	tian
搸	zhen
搹	e
搹	ge
携	xi
携	xie
搻	na
搻	ni
搻	nuo
搻	ruo
搼	quan
搽	ca
搽	cha
搾	zha
搿	bai
搿	ge
摀	wu
摁	en
摂	she
摃	gang
摃	gong
摄	nie
摄	she
摅	shu
摆	bai
摇	yao
摈	bin
摉	sou
摊	tan
摋	sa
摋	sha
摋	shai
摌	chan
摌	sun
摍	su
摍	suo
摎	jiao
摎	jiu
摎	liao
摎	liu
摎	miu
摎	nao
摏	chong
摐	chuang
摐	cong
摑	guai
摑	guo
摒	bing
摒	ping
摓	feng
摓	peng
摔	shuai
摕	di
摕	tu
摕	zhi
摖	cha
摖	ji
摖	qi
摗	song
摗	sou
摘	zhai
摘	zhe
摙	lian
摚	cheng
摚	tang
摛	chi
摜	guan
摝	lu
摞	luo
摟	lou
摠	zong
摡	gai
摡	xi
摢	chu
摢	hu
摣	zha
摤	chuang
摤	qiang
摥	tang
摦	hu
摦	hua
摧	cui
摨	nai
摨	zhi
摩	ma
摩	mo
摪	jiang
摪	qiang
摫	gui
摬	jing
摬	ying
摭	shu
摭	zhi
摮	ao
摮	qiao
摯	zhi
摰	che
摰	chi
摰	nie
摱	man
摲	can
摲	chan
摲	jian
摲	shan
摳	kou
摳	qu
摴	chu
摴	shu
摵	mi
摵	se
摵	su
摵	suo
摶	bo
摶	tuan
摷	chao
摷	jiao
摸	mao
摸	mo
摹	mo
摺	zhe
摻	can
摻	chan
摻	shan
摻	xian
摼	keng
摼	qian
摽	biao
摽	piao
摾	jiang
摾	jing
摾	lve
摿	yao
摿	yin
撀	gou
撁	qian
撂	liao
撂	lve
撃	ji
撄	ying
撅	jue
撆	pie
撇	pie
撈	lao
撉	dun
撊	xian
撋	ruan
撋	run
撌	gui
撌	kui
撍	qian
撍	zan
撍	zen
撎	yi
撏	xian
撏	xun
撐	cheng
撑	cheng
撒	sa
撓	nao
撓	rao
撔	heng
撔	hong
撕	si
撕	xi
撖	gan
撖	han
撖	qian
撗	guang
撗	heng
撗	huang
撘	da
撙	zun
撚	nian
撛	lin
撜	cheng
撜	deng
撜	zheng
撝	hui
撝	wei
撞	chuang
撞	zhuang
撟	jiao
撟	qiao
撠	ji
撡	can
撡	cao
撡	chan
撡	shan
撢	dan
撢	tan
撣	dan
撣	shan
撤	che
撥	bo
撦	che
撦	she
撧	jue
撨	sou
撨	xiao
撩	liao
撪	ben
撫	fu
撫	wu
撬	qiao
播	bo
撮	cuo
撮	zui
撮	zuo
撯	zhuo
撰	zhuan
撱	tuo
撱	wei
撲	pu
撳	qin
撴	dun
撵	nian
撶	hua
撷	xie
撸	lu
撹	gao
撹	jiao
撺	cuan
撻	da
撻	ta
撼	han
撽	ji
撽	jiao
撽	qiao
撽	yao
撾	guo
撾	wo
撾	zhua
撿	jian
擀	gan
擁	yong
擂	lei
擃	kuo
擃	nang
擃	nong
擄	lu
擄	luo
擅	shan
擆	zhuo
擇	ze
擇	zhai
擈	pu
擉	chu
擉	chuo
擊	ji
擋	dang
擌	se
擌	suo
操	cao
擎	jing
擎	qing
擏	jing
擏	qing
擐	huan
擑	jie
擒	qin
擓	kuai
擔	dan
擕	xi
擕	xie
擖	ge
擖	jia
擖	qia
擖	ye
擗	bo
擗	pi
擘	bai
擘	bi
擘	bo
擙	ao
據	ju
擛	ye
擜	e
擝	meng
擞	sou
擟	mi
擠	ji
擡	tai
擢	zhuo
擣	dao
擤	xing
擥	lan
擦	ca
擧	ju
擨	chi
擨	ye
擨	yi
擩	ru
擪	yan
擪	ye
擫	yan
擫	ye
擬	ni
擭	huo
擮	jia
擮	jie
擯	bin
擰	ning
擱	ge
擲	zhi
擳	jie
擳	zhi
擴	kuo
擵	mo
擶	jian
擷	ji
擷	jie
擷	xie
擸	la
擸	lie
擹	tan
擺	bai
擻	sou
擼	lu
擽	li
擽	luo
擽	lve
擽	yue
擾	rao
擿	shi
擿	ti
擿	zhai
擿	zhi
攀	pan
攁	yang
攂	lei
攃	ca
攃	sa
攄	shu
攅	cuan
攅	zan
攆	nian
攇	xian
攈	jun
攈	pei
攉	huo
攊	li
攊	luo
攋	la
攋	lai
攋	lan
攌	han
攌	huan
攍	ying
攎	lu
攎	luo
攏	long
攐	qian
攑	qian
攒	cuan
攒	zan
攓	jian
攓	qian
攔	lan
攕	jian
攕	xian
攖	ying
攗	jun
攗	mei
攘	rang
攙	chan
攚	weng
攚	ying
攛	cuan
攜	xi
攜	xie
攝	nie
攝	she
攞	luo
攟	jun
攠	mi
攠	mo
攡	chi
攡	li
攢	cuan
攢	zan
攣	lian
攣	luan
攤	tan
攥	cuan
攥	zuan
攦	li
攦	shai
攧	dian
攨	wa
攩	dang
攪	gao
攪	jiao
攫	jue
攬	lan
攭	li
攭	luo
攮	nan
攮	nang
支	zhi
攰	gui
攱	gui
攲	ji
攲	qi
攲	yi
攳	xin
攳	xun
攴	pu
攵	pu
攵	zhi
收	shou
攷	kao
攸	you
改	gai
攺	gai
攺	si
攺	yi
攻	gong
攼	gan
攼	han
攽	ban
攽	bin
放	fang
政	zheng
敀	bo
敀	po
敁	dian
敂	kou
敃	min
敄	mou
敄	wu
故	gu
敆	ge
敆	he
敇	ce
敇	chi
效	xiao
敉	mi
敊	chu
敊	shou
敋	e
敋	ge
敋	guo
敌	di
敌	hua
敍	xu
敎	jiao
敏	min
敐	chen
敐	zhen
救	jiu
敒	shen
敓	dui
敓	duo
敔	yu
敕	chi
敖	ao
敗	bai
敘	xu
教	jiao
敚	dui
敚	duo
敛	lian
敜	nie
敝	bi
敞	chang
敟	dian
敠	duo
敠	que
敡	yi
敢	gan
散	san
敤	guo
敤	ke
敥	yan
敦	dui
敦	dun
敧	ji
敧	qi
敧	yi
敨	dou
敨	tou
敩	xiao
敩	xue
敪	duo
敪	que
敫	jiao
敫	yao
敬	jing
敭	yang
敮	xia
敯	hun
敯	min
数	cu
数	shu
数	shuo
数	su
敱	ai
敱	zhu
敲	qiao
敳	ai
整	zheng
敵	di
敶	chen
敶	zhen
敷	fu
數	cu
數	shu
數	shuo
數	su
敹	liao
敺	ou
敺	qiao
敺	qu
敻	qiong
敻	xiong
敻	xuan
敼	xi
敼	yi
敽	jiao
敾	shan
敿	jiao
敿	qiao
斀	zhu
斀	zhuo
斁	du
斁	yi
斂	lian
斃	bi
斄	li
斄	tai
斅	xiao
斅	xue
斆	xiao
斆	xue
文	wen
斈	xiao
斈	xue
斉	ji
斉	qi
斉	zhai
斉	zi
斊	ji
斊	qi
斊	zhai
斊	zi
斋	zhai
斌	bin
斍	jiao
斍	jue
斎	zhai
斏	lang
斐	fei
斐	pei
斑	ban
斒	ban
斓	lan
斔	yu
斔	zhong
斕	lan
斖	men
斖	wei
斗	dou
斘	sheng
料	liao
斚	jia
斛	hu
斜	xia
斜	xie
斜	ye
斝	jia
斞	yu
斟	zhen
斠	gou
斠	jiao
斡	guan
斡	wo
斢	tiao
斢	tou
斣	dou
斤	jin
斥	chi
斦	yin
斦	zhi
斧	fu
斨	qiang
斩	zhan
斪	ju
斪	qu
斪	xin
斫	zhuo
斬	zhan
断	duan
斮	zhuo
斯	si
新	xin
斱	zhuo
斲	zhuo
斳	jin
斳	qin
斴	lin
斵	zhuo
斶	chu
斷	duan
斸	zhu
方	fang
斺	chan
斺	jie
斺	xie
斻	hang
斻	kang
於	wu
於	yu
施	shi
施	yi
斾	pei
斿	liu
斿	you
旀	mei
旀	mie
旁	bang
旁	pang
旂	qi
旃	dan
旃	zhan
旄	mao
旅	lv
旆	pei
旇	bei
旇	bi
旇	pi
旈	liu
旉	fu
旊	fang
旋	xuan
旌	jing
旌	ling
旍	jing
旍	ling
旎	ni
族	zu
旐	zhao
旑	yi
旒	liu
旓	shao
旔	jian
旕	yu
旖	yi
旗	qi
旘	chi
旘	zhi
旙	fan
旚	piao
旛	fan
旜	dan
旜	zhan
旝	guai
旝	kuai
旞	sui
旟	yu
无	mo
无	wu
旡	ji
既	ji
旣	ji
旤	huo
日	mi
日	ri
旦	dan
旧	jiu
旨	zhi
早	zao
旪	xie
旫	tiao
旬	xun
旭	xu
旮	ga
旮	xu
旯	la
旰	gan
旰	han
旱	han
旲	tai
旲	ying
旳	de
旳	di
旴	xu
旵	chan
时	shi
旷	kuang
旸	yang
旹	shi
旺	wang
旻	min
旼	min
旽	tun
旽	zhun
旾	chun
旿	wu
昀	yun
昁	bei
昁	pei
昁	po
昂	ang
昃	ze
昄	ban
昅	ji
昅	jie
昆	kun
昇	sheng
昈	hu
昉	fang
昊	hao
昋	gui
昋	tun
昌	chang
昍	xuan
明	ming
昏	hun
昐	fen
昑	jin
昑	qin
昒	hu
昒	wen
昒	wu
易	yi
昔	cuo
昔	xi
昕	xin
昖	yan
昗	ze
昘	fang
昙	tan
昚	shen
昛	ju
昜	yang
昝	zan
昞	bing
星	xing
映	ying
昡	xian
昡	xuan
昢	bei
昢	fei
昢	pei
昢	po
昢	pu
昣	zhen
昤	ling
春	chun
昦	hao
昦	jie
昧	mei
昨	zuo
昩	mo
昪	bian
昫	xu
昬	hun
昭	zhao
昮	gong
昮	zong
是	shi
昰	shi
昱	yu
昲	fei
昲	fu
昳	die
昳	yi
昴	mao
昵	ni
昶	chang
昷	wen
昸	dong
昹	ai
昺	bing
昻	ang
昼	zhou
昽	long
显	xian
昿	kuang
晀	tiao
晁	chao
晁	zhao
時	shi
晃	huang
晄	huang
晅	xuan
晅	yuan
晆	kui
晇	kua
晇	xu
晈	jiao
晉	jin
晊	zhi
晋	jin
晌	shang
晌	xiang
晍	tong
晎	hong
晏	yan
晐	gai
晑	xiang
晒	shai
晓	xiao
晔	ye
晕	yun
晖	hui
晗	han
晘	han
晙	jun
晙	zun
晚	wan
晛	xian
晜	di
晜	kun
晝	zhou
晞	xi
晟	cheng
晟	sheng
晠	cheng
晠	sheng
晡	bu
晢	zhe
晣	zhe
晤	wu
晥	han
晥	wan
晦	hui
晧	hao
晨	chen
晩	wan
晪	tian
晫	zhuo
晬	zui
晭	zhou
普	pu
景	jing
景	ying
晰	xi
晱	shan
晲	ni
晲	yi
晳	xi
晴	qing
晵	du
晵	qi
晶	jing
晷	gui
晷	jiu
晸	zhen
晸	zheng
晹	yi
智	zhi
晻	an
晻	yan
晼	wan
晽	lin
晾	liang
晿	chang
晿	cheng
暀	wang
暁	xiao
暂	zan
暃	fei
暄	xuan
暅	geng
暅	xuan
暅	yuan
暆	yi
暇	xia
暈	yin
暈	yun
暉	hui
暊	fu
暊	xu
暋	min
暌	kui
暍	he
暍	ye
暎	ying
暏	du
暏	shu
暐	wei
暑	shu
暒	qing
暓	mao
暔	nan
暕	jian
暕	lan
暖	nuan
暖	xuan
暗	an
暘	yang
暙	chun
暚	yao
暛	suo
暜	pu
暝	ming
暞	jiao
暟	ai
暟	kai
暟	qi
暠	gao
暠	hao
暡	weng
暢	chang
暣	qi
暤	gao
暤	hao
暥	yan
暦	li
暧	ai
暨	ji
暩	gui
暩	ji
暪	men
暫	zan
暫	zhan
暬	nie
暬	xie
暭	gao
暭	hao
暮	mu
暯	mo
暯	mu
暰	cong
暱	ni
暲	zhang
暳	hui
暴	bao
暴	pu
暵	han
暶	xuan
暷	chuan
暸	liao
暹	xian
暺	dan
暺	tan
暻	jing
暼	piao
暼	pie
暽	lin
暾	tun
暿	xi
曀	yi
曁	ji
曂	huang
曃	dai
曃	tai
曄	ye
曅	ye
曆	li
曇	tan
曈	tong
曉	xiao
曊	fei
曋	qin
曋	shen
曋	tan
曌	kong
曌	zhao
曍	gao
曍	hao
曎	yi
曏	xiang
曐	xing
曑	can
曑	cen
曑	san
曑	shen
曒	jiao
曓	bao
曓	pu
曔	jing
曕	yan
曖	ai
曗	ye
曘	ru
曙	shu
曚	meng
曛	xun
曜	yao
曜	yue
曝	bao
曝	pu
曞	li
曟	chen
曠	kuang
曡	da
曡	die
曢	liao
曣	yan
曤	huo
曥	lu
曥	lv
曦	xi
曧	rong
曨	long
曩	nang
曩	xiang
曪	luo
曫	luan
曬	shai
曭	tang
曮	yan
曯	zhu
曰	yue
曱	ga
曱	ya
曱	yue
曲	qu
曳	ye
曳	yi
更	geng
更	jing
曵	ye
曵	yi
曶	hu
曶	wen
曶	wu
曷	he
書	shu
曹	cao
曺	cao
曻	sheng
曼	man
曼	wan
曽	ceng
曽	zeng
曾	ceng
曾	zeng
替	ti
最	zui
朁	can
朁	jian
朁	qian
朂	xu
會	gui
會	hui
會	kuai
朄	yin
朅	he
朅	jie
朅	qie
朆	fen
朇	bi
朇	pi
月	rou
月	yue
有	you
朊	ruan
朋	peng
朌	ban
朌	fen
服	fu
朎	ling
朏	fei
朏	ku
朏	pei
朐	chun
朐	ju
朐	qu
朐	xu
朑	ti
朒	ga
朒	nv
朓	tiao
朔	shuo
朕	zhen
朖	lang
朗	lang
朘	juan
朘	jun
朘	zui
朙	ming
朚	huang
朚	mang
朚	wang
望	wang
朜	tun
朝	chao
朝	zhao
朞	ji
朞	qi
期	ji
期	qi
朠	ying
朡	zong
朢	wang
朣	chuang
朣	tong
朤	lang
朥	lao
朦	meng
朧	long
木	mu
朩	pin
未	wei
